solar,load,grid
1.442447802,0,1
1.881072047,2.739726027,1
2.146484878,2.739726027,1
2.097245877,2.739726027,1
1.752958622,2.739726027,1
1.284106386,2.739726027,1
1.356048914,0,1
0.18822781,0,1
0.079009204,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.291548611,0,1
0.852869502,0,1
1.317622555,0,1
1.336596383,2.739726027,1
2.042717907,2.739726027,1
2.22679541,2.739726027,1
2.152224664,2.739726027,1
1.953630382,2.739726027,1
1.533491967,0,1
0.620015434,0,1
0.079009204,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.349999155,0,1
0.91948588,0,1
1.459227963,0,1
1.899825114,2.739726027,1
2.185380644,2.739726027,1
2.251351006,2.739726027,1
2.2139355,2.739726027,1
1.906691943,2.739726027,1
1.535399807,0,1
1.002701162,0,1
0.099923405,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
